MarketId,Slug,Question,EndDate,Active,Closed,Archived,ResolvedOutcome,Volume,Liquidity,Volume24hr,Year,YesTokenId,NoTokenId
1168140,will-the-upper-bound-of-the-target-federal-funds-rate-be-4pt0-at-the-end-of-2026-386,Will the upper bound of the target federal funds rate be 4.0% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,1358236.2941179995,10754.52437,42.18233,2026,45298643302120067019009097483686644753682404593036519073434032964867401216713,91978458915370945988908089539242949184649677903154230672720974787942861020433
1168141,will-the-upper-bound-of-the-target-federal-funds-rate-be-4pt25-at-the-end-of-2026-984,Will the upper bound of the target federal funds rate be 4.25% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,412844.15751599974,8626.57134,26.95,2026,89500673908097597906591339142232589618046825453146074245854666302243957916021,85375547246839457656540637130161240130803028993782681477831906794644854814586
1168142,will-the-upper-bound-of-the-target-federal-funds-rate-be-4pt5-at-the-end-of-2026-139,Will the upper bound of the target federal funds rate be ≥ 4.5% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,2395702.8584840014,7841.38028,109.65,2026,44956651579513700220045051729687627381715616102744183825397331989105273067709,51964039038586437622048402090827247539716151648632162816759306830645640049347
1168832,will-the-upper-bound-of-the-target-federal-funds-rate-be-1pt0-at-the-end-of-2026-434,Will the upper bound of the target federal funds rate be ≤1.0% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,215871.66544699977,7886.75892,9.65,2026,8428905054197455020031495106070658435380642200638989046327033285092773824082,22604101464619399037934071193108562587384510554998098062934337462216758346318
1168833,will-the-upper-bound-of-the-target-federal-funds-rate-be-1pt25-at-the-end-of-2026-681,Will the upper bound of the target federal funds rate be 1.25% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,134220.72567699986,9998.9322,9.65,2026,1157443684511006167585906406655380617190907150100754776816041475587243788670,36635807580806452971261964327469928791107377411152635707398563290409311103680
1168834,will-the-upper-bound-of-the-target-federal-funds-rate-be-1pt5-at-the-end-of-2026-a8ms-587,Will the upper bound of the target federal funds rate be 1.5% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,133979.349806,8069.07494,9.65,2026,24200688643010489802979414720922485726083898678543840432899131608248835588689,10493822129702334789388374785987041030471657186882590140214131671825963087414
1168843,will-the-upper-bound-of-the-target-federal-funds-rate-be-1pt75-at-the-end-of-2026-739,Will the upper bound of the target federal funds rate be 1.75% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,133873.16891799995,7658.84779,12.66,2026,16142510462137475227869367321456992291659620114580902972224851745847257441642,82921925725133085615492926617722730351047520691655198023254751825520835743867
1168844,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736,Will the upper bound of the target federal funds rate be 2.0% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,243501.2976879998,8802.28221,9.65,2026,101115517952714930508586870711049128767846487814601539730559627760869397372071,4393318305486155700766279997920105641637607574286427145226154728192777990304
1227344,will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-447,Will Kevin Warsh be confirmed as Fed Chair and will rates hit 2.5% or lower in 2026?,2026-12-31T00:00:00Z,True,False,False,,5693.120459999998,1945.01325,67.12,2026,46091239361932142478682480948008873970191467150785110396994502723691495289956,21604618649648179239165697042911952381335935480672188760475095094501424754919
1227345,will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-958,Will Kevin Warsh be confirmed as Fed Chair and will rates stay above 2.5% in 2026?,2026-12-31T00:00:00Z,True,False,False,,7529.293860000002,3667.8178,33.18,2026,84046462467623575651564609695680328259011367863582645244986900444709317782077,87568880774573784875060327448344352870458352367065142953649333272451455443517
1420730,will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-may-decision,Will the Bank of Israel decrease the Bank of Israel Interest Rate after the May decision?,2026-05-25T00:00:00Z,True,False,False,,11152.212481000004,2002.7649,483.384359,2026,34728673447842111136415274612840042220157354993249188413493103172282891873331,69420404970691619506060423479690896083322488683408551654525049619759178021055
1420731,will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-may-decision,Will the Bank of Israel make no change to the Bank of Israel Interest Rate after the May decision?,2026-05-25T00:00:00Z,True,False,False,,19343.763853999997,2362.4553,592.804622,2026,18495373753188402430751707524970675138694844009238324917922329129122041852718,48834509191997107533124189943875624521627252876945554260662145804974207752954
1420732,will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-may-decision,Will the Bank of Israel increase the Bank of Israel Interest Rate after the May decision?,2026-05-25T00:00:00Z,True,False,False,,7770.162226000002,5852.31832,431.38830699999994,2026,92409921072270474548397478473636945240998918665258622839100853349701182474256,12951126416365002719321302278809853516796679533618000759302726075481466986478
1439536,fed-rate-cut-by-july-2026-meeting-577,Fed rate cut by July 2026 meeting?,2026-06-17T00:00:00Z,True,False,False,,66244.463392,27874.6013,2315.1420839999996,2026,55196773789328782968626753039325529600928079596441853086940968216494613088200,86813581772338799167079275163378464773270471015855402021478347394070070927463
1439549,fed-rate-cut-by-september-2026-meeting-264-382,Fed rate cut by September 2026 meeting?,2026-06-17T00:00:00Z,True,False,False,,92934.91904399988,15757.78953,237.9,2026,3080129411996805379742751525600597838226998464163037042731747436895624822756,104196970799436373424174856831098726379541508472048183572778073240675394024086
1439550,fed-rate-cut-by-october-2026-meeting-199-747,Fed rate cut by October 2026 meeting?,2026-06-17T00:00:00Z,True,False,False,,43393.24694100001,18170.46098,349.98,2026,44988145651657165705599548149732848615827306030030294113026805446816695818477,77520157601571841058805902692716742771926816526078241374918912770703681864753
1439555,fed-rate-cut-by-december-2026-meeting,Fed rate cut by December 2026 meeting?,2026-06-17T00:00:00Z,True,False,False,,107208.4276360002,16046.526,936.453037,2026,85002355202646770038788297383084634166875614093071220064343011133051368772502,55388042878106612984650771012856953294835512286392194574801105901687237873381
